Date,0050,00631L,00662,00865B
2021-03-31,29.240097045898438,114.3499984741211,47.31999969482422,37.400001525878906
2021-04-30,30.509519577026367,130.4499969482422,50.25,36.29999923706055
2021-05-31,29.75004005432129,122.0,48.5,36.400001525878906
2021-06-30,30.15147590637207,133.0500030517578,52.29999923706055,36.68000030517578
2021-07-31,29.597694396972656,127.30000305175781,53.25,36.779998779296875
2021-08-31,30.533157348632812,133.10000610351562,55.849998474121094,36.5
2021-09-30,29.815244674682617,125.80000305175781,53.45000076293945,36.63999938964844
2021-10-31,29.54330825805664,125.94999694824219,55.900001525878906,36.56999969482422
2021-11-30,30.021915435791016,131.6999969482422,58.54999923706055,36.459999084472656
2021-12-31,31.653539657592773,146.0,58.79999923706055,36.310001373291016
2022-01-31,31.469629287719727,137.85000610351562,50.79999923706055,36.369998931884766
2022-02-28,30.791545867919922,136.4499969482422,50.04999923706055,36.68000030517578
2022-03-31,30.702619552612305,136.9499969482422,55.70000076293945,37.45000076293945
2022-04-30,28.62390899658203,120.5,50.95000076293945,38.540000915527344
2022-05-31,28.857345581054688,121.94999694824219,47.790000915527344,37.93000030517578
2022-06-30,25.744844436645508,98.3499984741211,44.31999969482422,38.630001068115234
2022-07-31,26.649263381958008,104.19999694824219,49.689998626708984,38.97999954223633
2022-08-31,26.610950469970703,105.6500015258789,48.77000045776367,39.599998474121094
2022-09-30,23.409038543701172,83.19999694824219,45.790000915527344,41.27000045776367
2022-10-31,22.41339111328125,76.94999694824219,47.79999923706055,41.900001525878906
2022-11-30,26.328096389770508,102.0999984741211,45.79999923706055,40.31999969482422
2022-12-31,24.936452865600586,92.80000305175781,43.31999969482422,40.25
2023-01-31,27.3719482421875,109.30000305175781,45.900001525878906,39.47999954223633
2023-02-28,27.487638473510742,111.8499984741211,47.7400016784668,40.119998931884766
2023-03-31,28.135496139526367,117.5,51.04999923706055,40.29999923706055
2023-04-30,27.163707733154297,112.8499984741211,51.849998474121094,40.720001220703125
2023-05-31,29.18825912475586,128.25,56.75,40.869998931884766
2023-06-30,29.870826721191406,135.25,60.0,41.5099983215332
2023-07-31,30.236635208129883,139.85000610351562,63.599998474121094,42.34000015258789
2023-08-31,29.50889015197754,132.35000610351562,63.349998474121094,43.13999938964844
2023-09-30,28.792882919311523,127.80000305175781,60.70000076293945,43.779998779296875
2023-10-31,28.440750122070312,121.80000305175781,59.5,44.2400016784668
2023-11-30,30.835264205932617,143.5,64.25,42.810001373291016
2023-12-31,31.797767639160156,151.1999969482422,66.80000305175781,42.33000183105469
2024-01-31,32.27500915527344,152.0,69.80000305175781,43.209999084472656
2024-02-29,34.425071716308594,170.14999389648438,72.75,43.86000061035156
2024-03-31,37.90842056274414,194.64999389648438,74.75,44.5
2024-04-30,38.01652145385742,196.35000610351562,74.25,45.36000061035156
2024-05-31,39.87831115722656,212.10000610351562,77.25,45.439998626708984
2024-06-30,44.7910270690918,250.8000030517578,82.94999694824219,45.68000030517578
2024-07-31,43.66773986816406,233.9499969482422,80.19999694824219,46.41999816894531
2024-08-31,43.78847122192383,229.89999389648438,79.94999694824219,45.290000915527344
2024-09-30,44.416259765625,228.9499969482422,81.30000305175781,45.040000915527344
2024-10-31,46.31170654296875,239.0500030517578,84.80000305175781,45.7599983215332
2024-11-30,45.21307373046875,227.25,87.30000305175781,46.54999923706055
2024-12-31,47.265464782714844,240.35000610351562,89.4000015258789,47.27000045776367
2025-01-31,49.2773551940918,250.89999389648438,91.69999694824219,47.15999984741211
2025-02-28,47.12315368652344,238.4499969482422,89.4000015258789,47.63999938964844
2025-03-31,42.2884407043457,191.0,81.44999694824219,48.380001068115234
2025-04-30,41.27253723144531,170.3000030517578,79.69999694824219,46.84000015258789
2025-05-31,44.002010345458984,191.9499969482422,83.69999694824219,43.91999816894531
2025-06-30,47.3532600402832,213.5,84.80000305175781,43.0
2025-07-31,50.83253479003906,245.1999969482422,91.0,44.189998626708984
2025-08-31,51.76931381225586,259.3500061035156,92.80000305175781,45.2599983215332
2025-09-30,56.995548248291016,296.79998779296875,96.5999984741211,45.380001068115234
2025-10-31,63.848819732666016,355.1000061035156,102.9000015258789,45.83000183105469
2025-11-30,61.48221969604492,336.6000061035156,102.25,46.91999816894531
2025-12-31,64.6869888305664,362.8999938964844,102.6500015258789,47.150001525878906
2026-01-31,72.5999984741211,444.95001220703125,103.5999984741211,47.2400016784668
2026-02-28,81.1500015258789,537.8499755859375,101.3499984741211,47.13999938964844
2026-03-31,78.19999694824219,485.6000061035156,101.94999694824219,47.849998474121094
